Date,Hashrate,MVRV
2009-01-03,4.97102696e-08,
2009-01-04,3.72827022e-08,
2009-01-05,2.48551348e-08,
2009-01-06,1.2427567400000002e-08,
2009-01-07,0.0,
2009-01-08,1.317322145175e-06,
2009-01-09,2.63464429035e-06,
2009-01-10,3.951966435525e-06,
2009-01-11,5.2692885807e-06,
2009-01-12,5.53026749625e-06,
2009-01-13,5.7912464118e-06,
2009-01-14,6.05222532735e-06,
2009-01-15,6.3132042429e-06,
2009-01-16,6.21378370365e-06,
2009-01-17,6.1143631644e-06,
2009-01-18,6.014942625150001e-06,
2009-01-19,5.9155220859e-06,
2009-01-20,5.2692885807e-06,
2009-01-21,4.623055075500001e-06,
2009-01-22,3.9768215703e-06,
2009-01-23,3.3305880651e-06,
2009-01-24,3.777980491775e-06,
2009-01-25,4.22537291845e-06,
2009-01-26,4.6727653451249996e-06,
2009-01-27,5.1201577718e-06,
2009-01-28,5.4432745244e-06,
2009-01-29,5.766391277e-06,
2009-01-30,6.0895080296e-06,
2009-01-31,6.4126247822e-06,
2009-02-01,6.33805937775e-06,
2009-02-02,6.263493973300001e-06,
2009-02-03,6.1889285688500006e-06,
2009-02-04,6.1143631644e-06,
2009-02-05,6.2510664058750005e-06,
2009-02-06,6.3877696473500005e-06,
2009-02-07,6.524472888825e-06,
2009-02-08,6.6611761303e-06,
2009-02-09,6.462335051775e-06,
2009-02-10,6.26349397325e-06,
2009-02-11,6.064652894725e-06,
2009-02-12,5.8658118162e-06,
2009-02-13,5.92794965325e-06,
2009-02-14,5.9900874903e-06,
2009-02-15,6.05222532735e-06,
2009-02-16,6.1143631644e-06,
2009-02-17,6.176501001425e-06,
2009-02-18,6.23863883845e-06,
2009-02-19,6.300776675475e-06,
2009-02-20,6.3629145125e-06,
2009-02-21,6.151645866575e-06,
2009-02-22,5.940377220649999e-06,
2009-02-23,5.729108574725e-06,
2009-02-24,5.5178399288e-06,
2009-02-25,5.40599182215e-06,
2009-02-26,5.2941437154999994e-06,
2009-02-27,5.18229560885e-06,
2009-02-28,5.0704475022e-06,
2009-03-01,5.120157771825e-06,
2009-03-02,5.16986804145e-06,
2009-03-03,5.219578311075e-06,
2009-03-04,5.2692885807e-06,
2009-03-05,5.34385398515e-06,
2009-03-06,5.4184193896e-06,
2009-03-07,5.49298479405e-06,
2009-03-08,5.5675501985e-06,
2009-03-09,5.642115602925e-06,
2009-03-10,5.71668100735e-06,
2009-03-11,5.791246411775e-06,
2009-03-12,5.8658118162e-06,
2009-03-13,6.0149426251000004e-06,
2009-03-14,6.164073434e-06,
2009-03-15,6.3132042428999995e-06,
2009-03-16,6.4623350518e-06,
2009-03-17,6.3132042428999995e-06,
2009-03-18,6.164073434e-06,
2009-03-19,6.0149426251000004e-06,
2009-03-20,5.8658118162e-06,
2009-03-21,5.704253439925e-06,
2009-03-22,5.542695063649999e-06,
2009-03-23,5.381136687375e-06,
2009-03-24,5.2195783111e-06,
2009-03-25,5.393564254799999e-06,
2009-03-26,5.5675501985e-06,
2009-03-27,5.741536142200001e-06,
2009-03-28,5.9155220859e-06,
2009-03-29,5.766391277e-06,
2009-03-30,5.6172604681000004e-06,
2009-03-31,5.4681296592e-06,
2009-04-01,5.3189988503e-06,
2009-04-02,5.592405333275e-06,
2009-04-03,5.86581181625e-06,
2009-04-04,6.139218299225e-06,
2009-04-05,6.4126247822e-06,
2009-04-06,6.039797759975e-06,
2009-04-07,5.6669707377499996e-06,
2009-04-08,5.294143715525e-06,
2009-04-09,4.9213166933e-06,
2009-04-10,5.120157771825e-06,
2009-04-11,5.31899885035e-06,
2009-04-12,5.517839928875e-06,
2009-04-13,5.7166810074e-06,
2009-04-14,5.7166810074e-06,
2009-04-15,5.7166810074e-06,
2009-04-16,5.7166810074e-06,
2009-04-17,5.7166810074e-06,
2009-04-18,5.81610154665e-06,
2009-04-19,5.9155220859e-06,
2009-04-20,6.014942625150001e-06,
2009-04-21,6.1143631644e-06,
2009-04-22,6.101935597e-06,
2009-04-23,6.0895080296e-06,
2009-04-24,6.0770804622e-06,
2009-04-25,6.0646528948e-06,
2009-04-26,6.0770804622e-06,
2009-04-27,6.0895080296e-06,
2009-04-28,6.101935597e-06,
2009-04-29,6.1143631644e-06,
